n_estimators,max_depth,max_features,min_samples_split,accuracy,num_features,num_samples,class_imbalance_ratio,num_classes,num_categorical_features,num_numerical_features
50,5,sqrt,2,0.916151826,20,7999,7.770833333,2,0,20
75,5,sqrt,2,0.916485243,20,7999,7.770833333,2,0,20
100,5,sqrt,2,0.916151993,20,7999,7.770833333,2,0,20
150,5,sqrt,2,0.916318576,20,7999,7.770833333,2,0,20
200,5,sqrt,2,0.916318909,20,7999,7.770833333,2,0,20
50,5,sqrt,5,0.914818743,20,7999,7.770833333,2,0,20
75,5,sqrt,5,0.914485493,20,7999,7.770833333,2,0,20
100,5,sqrt,5,0.917319243,20,7999,7.770833333,2,0,20
150,5,sqrt,5,0.916818909,20,7999,7.770833333,2,0,20
200,5,sqrt,5,0.917819076,20,7999,7.770833333,2,0,20
50,5,sqrt,10,0.917486076,20,7999,7.770833333,2,0,20
75,5,sqrt,10,0.916819743,20,7999,7.770833333,2,0,20
100,5,sqrt,10,0.917652993,20,7999,7.770833333,2,0,20
150,5,sqrt,10,0.917319493,20,7999,7.770833333,2,0,20
200,5,sqrt,10,0.918486243,20,7999,7.770833333,2,0,20
50,5,log2,2,0.916151826,20,7999,7.770833333,2,0,20
75,5,log2,2,0.916485243,20,7999,7.770833333,2,0,20
100,5,log2,2,0.916151993,20,7999,7.770833333,2,0,20
150,5,log2,2,0.916318576,20,7999,7.770833333,2,0,20
200,5,log2,2,0.916318909,20,7999,7.770833333,2,0,20
50,5,log2,5,0.914818743,20,7999,7.770833333,2,0,20
75,5,log2,5,0.914485493,20,7999,7.770833333,2,0,20
100,5,log2,5,0.917319243,20,7999,7.770833333,2,0,20
150,5,log2,5,0.916818909,20,7999,7.770833333,2,0,20
200,5,log2,5,0.917819076,20,7999,7.770833333,2,0,20
50,5,log2,10,0.917486076,20,7999,7.770833333,2,0,20
75,5,log2,10,0.916819743,20,7999,7.770833333,2,0,20
100,5,log2,10,0.917652993,20,7999,7.770833333,2,0,20
150,5,log2,10,0.917319493,20,7999,7.770833333,2,0,20
